Date,NSW,VC,QLD,SA,WA,TAS,NT,ACT
May-15,1512.10,1396.60,1440.90,1348.20,1691.20,1289.00,1513.50,1707
Nov-15,1527.30,1424.80,1446.70,1376.00,1708.70,1318.70,1553.00,1715.6
May-16,1541.00,1454.50,1460.30,1414.90,1698.60,1334.70,1569.70,1725.4
Nov-16,1535.80,1500.10,1482.10,1446.00,1703.20,1345.10,1638.50,1747
May-17,1545.80,1507.70,1496.10,1447.60,1714.70,1352.80,1616.50,1774.1
Nov-17,1585.90,1524.30,1527.80,1441.50,1742.80,1356.20,1647.90,1803.1
May-18,1606.10,1545.30,1541.90,1448.60,1740.30,1379.30,1668.50,1810.1
Nov-18,1622.10,1568.80,1574.00,1462.20,1757.10,1399.50,1643.30,1813.3
May-19,1664.1,1608.3,1577.2,1475.1,1780.8,1420.5,1690.3,1809.7
Nov-19,1680,1647,1609,1504,1778,1450,1685,1830
May-20,1748.9,1709,1645.4,1522.9,1840.8,1488.1,1701.6,1861.4
Nov-20,1751.9,1718.5,1615.4,1542.6,1840.5,1488.1,1703.7,1890.2
May-21,1764.3,1750.7,1646.7,1569.9,1879.7,1520.7,1695.2,1908.6
Nov-21,1761.1,1759.8,1671.4,1591.4,1895.8,1541.7,1698.6,1980.5
May-22,1790,1750.7,1705.1,1622.9,1937.3,1568.5,1710.3,1983.7
Nov-22,1810.2,1793.9,1760.7,1658,1988.5,1586.4,1744.1,2019.1
May-23,"1,831.90","1,832.90","1,791.00","1,677.80","2,039.30","1,619.30","1,775.90","2,022.90"
Nov-23,"1,891.40","1,858.10","1,844.70","1,735.40","2,107.70","1,670.00","1,832.80","2,087.60"
May-24,"1,935.70","1,882.00","1,901.00","1,776.90","2,094.30","1,710.80","1,845.80","2,126.50"
Nov-24,"1,985.60","1,927.90","1,953.70","1,857.40","2,156.80","1,765.60","1,886.60","2,178.40"
May-25,"2,052.00","1,959.60","1,953.70","1,894.10","2,154.70","1,793.00","1,927.00","2,232.20"
Nov-25,2084,2013.7,1994.5,1935.1,2193.2,1821.2,1942.3,2248.4
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
