Date,City,Monthly_Growth,Annual_Growth,Median_Value,Note
Mar-22,Sydney,32.00%,16.27%,"$982,000.0",
Mar-22,Melbourne,-0.02%,10.40%,"$780,000.0",
Mar-22,Adelaide,0.84%,24.90%,"$548,000.0",
Mar-22,Brisbane,0.49%,27.02%,"$627,000.0",
Mar-22,Perth,-0.11%,7.67%,"$520,000.0",
Mar-22,Hobart,0.19%,23.85%,"$657,000.0",
Mar-22,Canberra (ACT),0.35%,26.40%,"$813,000.0",
Mar-22,Darwin,-0.61%,9.47%,"$479,000.0",
Jun-22,Sydney,-0.40%,6.41%,"$1,015,000.0",
Jun-22,Melbourne,-0.61%,5.00%,"$796,000.0",
Jun-22,Adelaide,0.42%,23.39%,"$584,000.0",at peak
Jun-22,Brisbane,-0.09%,23.75%,"$683,000.0",
Jun-22,Perth,0.12%,9.18%,"$537,000.0",at peak
Jun-22,Hobart,0.26%,17.40%,"$696,000.0",at peak
Jun-22,Canberra (ACT),-0.23%,15.00%,"$852,000.0",
Jun-22,Darwin,0.08%,6.92%,"$482,000.0",
Sep-22,Sydney,-0.18%,-3.65%,"$962,000.0",
Sep-22,Melbourne,-0.29%,-2.08%,"$826,000.0",
Sep-22,Adelaide,-0.16%,16.30%,"$651,000.0",
Sep-22,Brisbane,-0.29%,11.65%,"$761,000.0",
Sep-22,Perth,-0.29%,6.55%,"$553,000.0",
Sep-22,Hobart,0.05%,6.61%,"$728,000.0",
Sep-22,Canberra (ACT),-0.09%,4.68%,"$891,000.0",
Sep-22,Darwin,-0.37%,2.81%,"$499,000.0",
Dec-22,Sydney,-0.19%,-6.99%,"$989,000.0",
Dec-22,Melbourne,-0.34%,-5.16%,"$802,000.0",
Dec-22,Adelaide,-0.18%,9.63%,"$646,000.0",
Dec-22,Brisbane,-0.18%,2.18%,"$716,000.0",
Dec-22,Perth,-0.05%,3.61%,"$560,000.0",
Dec-22,Hobart,0.11%,-0.04%,"$701,000.0",
Dec-22,Canberra (ACT),-0.43%,-2.60%,"$847,000.0",
Dec-22,Darwin,0.32%,1.38%,"$499,000.0",
Mar-23,Sydney,0.27%,-6.03%,"$994,000.0",
Mar-23,Melbourne,0.12%,-5.79%,"$789,000.0",
Mar-23,Adelaide,0.10%,6.26%,"$650,000.0",at peak
Mar-23,Brisbane,-0.06%,-2.65%,"$712,000.0",
Mar-23,Perth,0.24%,3.23%,"$565,000.0",at peak
Mar-23,Hobart,-0.43%,-5.16%,"$680,000.0",
Mar-23,Canberra (ACT),0.03%,-5.98%,"$838,000.0",
Mar-23,Darwin,-0.10%,0.21%,"$492,000.0",
Jun-23,Sydney,0.63%,0.96%,"$1,036,000.0",
Jun-23,Melbourne,0.24%,-2.93%,"$803,000.0",
Jun-23,Adelaide,0.45%,5.27%,"$666,000.0",at peak
Jun-23,Brisbane,0.08%,0.07%,"$731,000.0",
